NUTS315CD,NUTS315NM,NUTS318CD,NUTS318NM,Column4,Column5,Column6,Column7,Column8,Column9,FID
UKI52,Barking & Dagenham and Havering,UKI52,Barking & Dagenham and Havering,,,,,,,89
UKI53,Redbridge and Waltham Forest,UKI53,Redbridge and Waltham Forest,,,,,,,90
UKI54,Enfield,UKI54,Enfield,,,,,,,91
UKI61,Bromley,UKI61,Bromley,,,,,,,92
UKI62,Croydon,UKI62,Croydon,,,,,,,93
UKI63,"Merton, Kingston upon Thames and Sutton",UKI63,"Merton, Kingston upon Thames and Sutton",,,,,,,94
UKI71,Barnet,UKI71,Barnet,,,,,,,95
UKI72,Brent,UKI72,Brent,,,,,,,96
UKI73,Ealing,UKI73,Ealing,,,,,,,97
UKI74,Harrow and Hillingdon,UKI74,Harrow and Hillingdon,,,,,,,98
UKI75,Hounslow and Richmond upon Thames,UKI75,Hounslow and Richmond upon Thames,,,,,,,99
UKJ11,Berkshire,UKJ11,Berkshire,,,,,,,100
UKJ12,Milton Keynes,UKJ12,Milton Keynes,,,,,,,101
UKJ13,Buckinghamshire CC,UKJ13,Buckinghamshire CC,,,,,,,102
UKJ14,Oxfordshire,UKJ14,Oxfordshire,,,,,,,103
UKJ21,Brighton and Hove,UKJ21,Brighton and Hove,,,,,,,104
UKJ22,East Sussex CC,UKJ22,East Sussex CC,,,,,,,105
UKJ25,West Surrey,UKJ25,West Surrey,,,,,,,106
UKJ26,East Surrey,UKJ26,East Surrey,,,,,,,107
UKJ27,West Sussex (South West),UKJ27,West Sussex (South West),,,,,,,108
UKJ28,West Sussex (North East),UKJ28,West Sussex (North East),,,,,,,109
UKJ31,Portsmouth,UKJ31,Portsmouth,,,,,,,110
UKJ32,Southampton,UKJ32,Southampton,,,,,,,111
UKJ34,Isle of Wight,UKJ34,Isle of Wight,,,,,,,112
UKJ35,South Hampshire,UKJ35,South Hampshire,,,,,,,113
UKJ36,Central Hampshire,UKJ36,Central Hampshire,,,,,,,114
UKJ37,North Hampshire,UKJ37,North Hampshire,,,,,,,115
UKJ41,Medway,UKJ41,Medway,,,,,,,116
