postcode_district,population
RG30,"44,131"
RG31,"27,276"
RG4,"39,134"
RG40,"26,480"
RG41,"28,226"
RG42,"26,041"
RG45,"14,565"
RG5,"25,235"
RG6,"37,937"
RG7,"31,944"
RG8,"18,932"
RG9,"23,154"
RH1,"46,125"
RH10,"65,219"
RH11,"55,816"
RH12,"43,776"
RH13,"38,108"
RH14,"14,087"
RH15,"31,545"
RH16,"33,550"
RH17,"19,263"
RH18,"4,453"
RH19,"33,479"
RH2,"26,229"
RH20,"24,968"
RH3,"4,366"
RH4,"15,479"
RH5,"16,545"
RH6,"29,317"
RH7,"9,222"
RH8,"15,546"
RH9,"5,443"
RM1,"19,610"
RM10,"38,181"
RM11,"31,777"
RM12,"34,240"
RM13,"28,916"
RM14,"27,030"
RM15,"27,446"
RM16,"41,136"
RM17,"27,405"
RM18,"16,664"
RM19,"6,527"
RM2,"13,184"
RM20,"4,877"
RM3,"40,387"
RM4,"4,191"
RM5,"18,344"
RM6,"32,702"
RM7,"28,931"
RM8,"39,073"
RM9,"36,203"
S1,"10,651"
S10,"47,408"
S11,"34,383"
S12,"34,342"
S13,"30,670"
S14,"9,665"
S17,"15,586"
S18,"24,729"
S2,"44,529"
S20,"31,382"
S21,"21,030"
S25,"21,101"
S26,"25,888"
S3,"19,330"
S32,"5,697"
S33,"4,961"
S35,"41,401"
S36,"27,347"
S4,"14,465"
S40,"35,398"
S41,"36,402"
S42,"28,228"
S43,"40,349"
S44,"21,700"
S45,"13,622"
S5,"59,868"
S6,"58,252"
S60,"37,295"
S61,"35,820"
S62,"19,976"
S63,"38,096"
S64,"30,696"
S65,"35,575"
S66,"46,183"
S7,"17,436"
S70,"38,839"
S71,"44,892"
S72,"25,354"
S73,"27,014"
S74,"17,710"
S75,"43,598"
S8,"46,174"
S80,"30,032"
S81,"37,344"
S9,"28,089"
SE1,"67,037"
SE10,"23,987"
SE11,"21,974"
SE12,"27,143"
SE13,"42,278"
SE14,"24,679"
SE15,"64,359"
SE16,"44,957"
SE17,"33,591"
SE18,"77,384"
SE19,"27,650"
SE2,"27,104"
SE20,"22,881"
SE21,"15,259"
SE22,"29,738"
SE23,"33,489"
SE24,"18,914"
SE25,"34,686"
SE26,"28,378"
SE27,"21,836"
SE28,"29,488"
SE3,"31,790"
SE4,"28,723"
SE5,"46,256"
SE6,"53,271"
SE7,"21,139"
SE8,"27,859"
SE9,"62,852"
SG1,"51,250"
SG10,"2,087"
SG11,"7,969"
SG12,"30,067"
SG13,"16,643"
SG14,"18,798"
SG15,"5,584"
SG16,"6,110"
SG17,"12,203"
SG18,"24,128"
SG19,"24,097"
SG2,"42,112"
SG3,"7,068"
SG4,"29,212"
SG5,"31,407"
SG6,"33,249"
SG7,"13,276"
SG8,"38,277"
SG9,"9,374"
SK1,"11,550"
SK10,"39,804"
SK11,"36,547"
SK12,"19,072"
SK13,"33,090"
SK14,"46,233"
SK15,"27,424"
SK16,"19,645"
SK17,"32,207"
SK2,"28,909"
SK22,"12,230"
SK23,"17,125"
SK3,"28,387"
SK4,"34,804"
SK5,"29,154"
SK6,"50,813"
SK7,"40,454"
SK8,"58,346"
SK9,"38,001"
SL0,"11,119"
SL1,"70,804"
SL2,"53,290"
SL3,"45,163"
SL4,"43,347"
SL5,"23,870"
SL6,"77,837"
SL7,"20,946"
SL8,"6,448"
SL9,"20,783"
SM1,"38,062"
SM2,"27,688"
SM3,"21,018"
SM4,"36,841"
SM5,"38,682"
SM6,"36,494"
SM7,"18,263"
SN1,"29,665"
SN10,"31,544"
SN11,"22,358"
SN12,"25,211"
SN13,"16,529"
SN14,"28,083"
SN15,"35,109"
SN16,"13,831"
SN2,"41,148"
SN25,"35,205"
SN26,"1,827"
SN3,"51,117"
SN4,"27,628"
SN5,"33,001"
SN6,"21,161"
SN7,"13,484"
SN8,"24,018"
SN9,"8,130"
SO14,"27,451"
SO15,"42,112"
SO16,"65,918"
SO17,"19,322"
SO18,"36,990"
SO19,"56,342"
SO20,"8,081"
SO21,"19,557"
SO22,"28,611"
SO23,"22,364"
SO24,"11,324"
SO30,"32,278"
SO31,"44,733"
SO32,"19,752"
SO40,"41,855"
SO41,"31,388"
SO42,"5,273"
SO43,"4,391"
SO45,"34,987"
SO50,"46,390"
SO51,"26,578"
SO52,"7,037"
SO53,"32,459"
SP1,"21,491"
SP10,"40,652"
SP11,"23,446"
SP2,"29,309"
SP3,"11,303"
SP4,"31,111"
SP5,"22,361"
SP6,"14,047"
SP7,"13,556"
SP8,"14,570"
SP9,"10,678"
SR1,"5,414"
SR2,"32,933"
SR3,"39,412"
SR4,"41,580"
SR5,"34,792"
SR6,"30,086"
SR7,"31,165"
SR8,"35,444"
SS0,"41,454"
SS1,"25,953"
SS11,"16,738"
SS12,"18,029"
SS13,"22,124"
SS14,"24,915"
SS15,"30,263"
SS16,"29,490"
SS17,"32,823"
SS2,"36,455"
SS3,"28,604"
SS4,"20,993"
SS5,"21,540"
SS6,"31,792"
SS7,"49,256"
SS8,"38,170"
SS9,"50,078"
ST1,"29,860"
ST10,"25,598"
ST11,"9,995"
ST12,"3,809"
ST13,"27,981"
ST14,"20,545"
ST15,"21,412"
ST16,"30,955"
ST17,"39,718"
ST18,"16,223"
ST19,"14,751"
ST2,"34,192"
ST20,"6,711"
ST21,"5,674"
ST3,"67,670"
ST4,"57,197"
ST5,"82,400"
ST6,"64,454"
ST7,"52,883"
ST8,"20,375"
ST9,"11,665"
SW10,"18,478"
SW11,"71,717"
SW12,"31,586"
SW13,"16,190"
SW14,"16,830"
SW15,"60,456"
SW16,"80,927"
SW17,"64,215"
SW18,"58,992"
SW19,"77,676"
SW1A,246
SW1E,919
SW1H,734
SW1P,"13,508"
SW1V,"22,574"
SW1W,"8,557"
SW1X,"6,026"
SW1Y,550
SW2,"54,331"
SW20,"28,275"
SW3,"22,170"
SW4,"39,586"
SW5,"15,493"
SW6,"65,149"
SW7,"19,852"
SW8,"36,408"
SW9,"43,399"
SY1,"26,536"
SY10,"14,663"
SY11,"27,014"
SY12,"8,250"
SY13,"19,549"
SY14,"5,644"
SY15,"5,199"
SY16,"16,232"
SY17,"3,553"
SY18,"4,648"
SY19,"1,169"
SY2,"17,535"
SY20,"6,921"
SY21,"16,250"
SY22,"9,534"
SY23,"30,858"
SY24,"4,663"
SY25,"4,343"
SY3,"33,785"
SY4,"24,540"
SY5,"21,288"
SY6,"6,554"
SY7,"11,884"
SY8,"18,633"
SY9,"2,895"
TA1,"39,473"
TA10,"9,270"
TA11,"9,166"
TA12,"6,353"
TA13,"3,973"
TA14,"2,986"
TA15,831
TA16,"1,979"
TA17,442
TA18,"10,039"
TA19,"11,688"
TA2,"26,524"
TA20,"20,332"
TA21,"18,155"
TA22,"2,619"
TA23,"5,681"
TA24,"18,650"
TA3,"14,412"
TA4,"18,849"
TA5,"10,155"
TA6,"46,320"
TA7,"14,982"
TA8,"16,938"
TA9,"12,380"
TD12,"1,163"
TD15,"17,161"
TF1,"37,144"
TF10,"18,398"
TF11,"9,907"
TF12,"5,609"
TF13,"3,696"
TF2,"38,813"
TF3,"23,954"
TF4,"18,198"
TF5,"5,346"
TF6,"4,997"
TF7,"17,631"
TF8,"2,903"
TF9,"25,465"
TN1,"11,247"
TN10,"16,283"
TN11,"13,872"
TN12,"29,475"
TN13,"24,993"
TN14,"14,970"
TN15,"24,338"
TN16,"19,293"
TN17,"14,720"
TN18,"6,612"
TN19,"5,000"
TN2,"28,428"
TN20,"3,718"
TN21,"15,983"
TN22,"26,183"
TN23,"39,896"
TN24,"31,619"
TN25,"15,556"
TN26,"11,182"
TN27,"12,404"
TN28,"8,455"
TN29,"13,757"
TN3,"11,722"
TN30,"9,307"
TN31,"13,542"
TN32,"5,238"
TN33,"12,745"
TN34,"29,691"
TN35,"17,207"
TN36,"2,303"
TN37,"20,561"
TN38,"29,035"
TN39,"25,768"
TN4,"32,239"
TN40,"17,422"
TN5,"8,756"
TN6,"24,430"
TN7,"2,151"
TN8,"12,680"
TN9,"18,035"
TQ1,"31,701"
TQ10,"4,029"
TQ11,"4,133"
TQ12,"52,994"
TQ13,"23,134"
TQ14,"19,461"
TQ2,"33,544"
TQ3,"30,368"
TQ4,"18,647"
TQ5,"19,304"
TQ6,"8,267"
TQ7,"16,492"
TQ8,"2,071"
TQ9,"17,259"
TR1,"20,534"
TR10,"11,258"
TR11,"28,826"
TR12,"9,584"
TR13,"19,823"
TR14,"24,632"
TR15,"20,094"
TR16,"14,160"
TR17,"1,447"
TR18,"19,872"
TR19,"9,033"
TR2,"9,465"
TR20,"9,293"
TR21,"1,723"
TR22,169
TR24,175
TR25,136
TR26,"11,642"
TR27,"14,766"
TR3,"12,399"
TR4,"11,047"
TR5,"3,884"
TR6,"3,516"
TR7,"20,189"
TR8,"7,973"
TR9,"8,224"
TS1,"17,202"
TS10,"37,073"
TS11,"11,945"
TS12,"22,514"
TS13,"10,369"
TS14,"17,627"
TS15,"12,802"
TS16,"10,449"
TS17,"45,119"
TS18,"24,877"
TS19,"37,115"
TS2,773
TS20,"20,737"
TS21,"12,670"
TS22,"8,506"
TS23,"30,225"
TS24,"21,840"
TS25,"38,827"
TS26,"25,450"
TS27,"12,327"
TS28,"5,277"
TS29,"6,266"
TS3,"29,653"
TS4,"17,229"
TS5,"39,717"
TS6,"30,350"
TS7,"21,787"
TS8,"21,011"
TS9,"12,737"
TW1,"25,392"
TW10,"19,152"
TW11,"23,410"
TW12,"23,010"
TW13,"36,258"
TW14,"28,023"
TW15,"27,462"
TW16,"20,143"
TW17,"14,242"
TW18,"26,173"
TW19,"16,019"
TW2,"30,645"
TW20,"24,845"
TW3,"40,168"
TW4,"27,229"
TW5,"29,463"
TW7,"37,540"
TW8,"19,667"
TW9,"21,631"
UB1,"40,374"
UB10,"33,494"
UB2,"32,239"
UB3,"48,133"
UB4,"39,616"
UB5,"45,955"
UB6,"51,364"
UB7,"29,652"
UB8,"36,604"
UB9,"14,538"
W10,"34,202"
W11,"31,499"
W12,"48,949"
W13,"32,411"
W14,"37,480"
W1B,508
W1D,"1,544"
W1F,"1,510"
W1G,"2,931"
W1H,"6,289"
W1J,"1,528"
W1K,"3,015"
W1S,151
W1T,"4,060"
W1U,"5,651"
W1W,"4,434"
W2,"48,372"
W3,"52,419"
W4,"44,018"
W5,"49,943"
W6,"35,728"
W7,"28,959"
W8,"20,536"
W9,"37,569"
WA1,"21,533"
WA10,"38,648"
WA11,"40,516"
WA12,"22,033"
WA13,"12,830"
WA14,"27,690"
WA15,"42,664"
WA16,"23,544"
WA2,"40,792"
WA3,"47,757"
WA4,"46,673"
WA5,"58,500"
WA6,"18,925"
WA7,"63,271"
WA8,"61,934"
WA9,"48,870"
WC1A,545
WC1B,"1,667"
WC1E,"2,282"
WC1H,"8,328"
WC1N,"7,295"
WC1R,630
WC1V,960
WC1X,"7,953"
WC2B,"1,907"
WC2E,905
WC2H,"2,491"
WC2N,"1,032"
WD17,"15,787"
WD18,"24,334"
WD19,"27,375"
WD23,"25,640"
WD24,"21,615"
WD25,"27,808"
WD3,"40,666"
WD4,"11,252"
WD5,"11,497"
WD6,"37,545"
WD7,"12,469"
WF1,"33,897"
WF10,"45,457"
WF11,"16,984"
WF12,"33,976"
WF13,"27,462"
WF14,"19,563"
WF15,"17,697"
WF16,"12,623"
WF17,"43,719"
WF2,"51,023"
WF3,"32,594"
WF4,"43,308"
WF5,"21,231"
WF6,"21,317"
WF7,"20,185"
WF8,"32,376"
WF9,"39,245"
WN1,"20,039"
WN2,"52,772"
WN3,"29,926"
WN4,"28,762"
WN5,"43,781"
WN6,"39,852"
WN7,"47,382"
WN8,"45,969"
WR1,"8,955"
WR10,"17,726"
WR11,"41,614"
WR12,"5,436"
WR13,"8,195"
WR14,"34,207"
WR15,"7,098"
WR2,"29,899"
WR3,"20,472"
WR4,"26,036"
WR5,"31,154"
WR6,"12,091"
WR7,"4,984"
WR8,"8,519"
WR9,"31,028"
WS1,"27,271"
WS10,"46,711"
WS11,"42,593"
WS12,"35,408"
WS13,"26,628"
WS14,"17,105"
WS15,"36,552"
WS2,"38,754"
WS3,"50,097"
WS4,"16,805"
WS5,"21,467"
WS6,"18,183"
WS7,"29,867"
WS8,"15,586"
WS9,"26,660"
WV1,"16,539"
WV10,"56,394"
WV11,"34,571"
WV12,"25,649"
WV13,"20,638"
WV14,"47,169"
WV15,"7,939"
WV16,"17,290"
WV2,"14,720"
WV3,"28,971"
WV4,"35,122"
WV5,"15,883"
WV6,"44,995"
WV7,"7,166"
WV8,"15,580"
WV9,"7,231"
YO1,"4,514"
YO10,"30,493"
YO11,"22,899"
YO12,"40,844"
YO13,"10,111"
YO14,"11,256"
YO15,"13,739"
YO16,"25,475"
YO17,"21,214"
YO18,"10,760"
YO19,"12,914"
YO21,"14,132"
YO22,"8,728"
YO23,"19,324"
YO24,"29,656"
YO25,"33,310"
YO26,"30,202"
YO30,"26,611"
YO31,"30,239"
YO32,"28,270"
YO41,"10,837"
YO42,"14,559"
YO43,"12,288"
YO51,"5,533"
YO60,"4,741"
YO61,"14,004"
YO62,"12,060"
YO7,"19,997"
YO8,"43,729"
CF10,"14,616"
CF11,"36,058"
CF14,"77,856"
CF15,"17,823"
CF23,"47,027"
CF24,"55,860"
CF3,"42,223"
CF31,"44,883"
CF32,"29,905"
CF33,"14,464"
CF34,"20,612"
CF35,"16,152"
CF36,"16,005"
CF37,"38,323"
CF38,"23,277"
CF39,"28,926"
CF40,"20,588"
CF41,"10,755"
CF42,"13,421"
CF43,"11,884"
CF44,"39,211"
CF45,"19,553"
CF46,"14,280"
CF47,"21,886"
CF48,"27,283"
CF5,"66,024"
CF61,"9,983"
CF62,"41,446"
CF63,"21,924"
CF64,"36,574"
CF71,"9,049"
CF72,"25,557"
CF81,"16,431"
CF82,"20,233"
CF83,"55,242"
LD1,"11,341"
LD2,"5,688"
LD3,"19,241"
LD4,769
LD5,"1,106"
LD6,"2,681"
LD7,"4,812"
LD8,"4,154"
LL11,"38,337"
LL12,"28,326"
LL13,"34,865"
LL14,"33,424"
LL15,"10,832"
LL16,"15,848"
LL17,"5,276"
LL18,"40,552"
LL19,"19,924"
LL20,"8,317"
LL21,"6,066"
LL22,"17,700"
LL23,"4,362"
LL24,"1,939"
LL25,474
LL26,"4,577"
LL27,783
LL28,"14,157"
LL29,"20,327"
LL30,"21,886"
LL31,"9,473"
LL32,"6,518"
LL33,"3,877"
LL34,"4,353"
LL35,878
LL36,"4,675"
LL37,526
LL38,721
LL39,310
LL40,"4,132"
LL41,"6,479"
LL42,"2,522"
LL43,467
LL44,"1,073"
LL45,645
LL46,"1,900"
LL47,550
LL48,"2,587"
LL49,"4,651"
LL51,630
LL52,"2,652"
LL53,"17,223"
LL54,"11,242"
LL55,"21,693"
LL56,"2,284"
LL57,"27,683"
LL58,"3,858"
LL59,"5,630"
LL60,"3,149"
LL61,"6,051"
LL62,"1,704"
LL63,"1,370"
LL64,"1,008"
LL65,"23,674"
LL67,"1,357"
LL68,"6,385"
LL69,595
LL70,354
LL71,"1,726"
LL72,710
LL73,254
LL74,"2,236"
LL75,"1,491"
LL76,324
LL77,"7,366"
LL78,509
NP10,"23,201"
NP11,"37,796"
NP12,"33,524"
NP13,"19,827"
NP15,"7,866"
NP16,"23,955"
NP18,"17,277"
NP19,"51,623"
NP20,"50,789"
NP22,"22,024"
NP23,"33,505"
NP24,"4,966"
NP25,"15,164"
NP26,"22,521"
NP4,"45,537"
NP44,"47,175"
NP7,"26,071"
NP8,"5,547"
SA1,"47,081"
SA10,"29,827"
SA11,"36,588"
SA12,"32,658"
SA13,"19,663"
SA14,"33,963"
SA15,"36,736"
SA16,"8,547"
SA17,"9,407"
SA18,"29,687"
SA19,"9,394"
SA2,"38,386"
SA20,"3,574"
SA3,"26,235"
SA31,"16,923"
SA32,"7,758"
SA33,"12,346"
SA34,"5,398"
SA35,715
SA36,395
SA37,"1,287"
SA38,"4,761"
SA39,"2,321"
SA4,"44,356"
SA40,"3,580"
SA41,"1,882"
SA42,"2,306"
SA43,"12,535"
SA44,"11,490"
SA45,"1,730"
SA46,"2,732"
SA47,"1,250"
SA48,"8,951"
SA5,"36,460"
SA6,"34,182"
SA61,"14,262"
SA62,"21,332"
SA63,"1,112"
SA64,"2,462"
SA65,"4,379"
SA66,"3,021"
SA67,"6,930"
SA68,"4,305"
SA69,"3,534"
SA7,"15,118"
SA70,"9,731"
SA71,"10,272"
SA72,"10,581"
SA73,"20,354"
SA8,"12,556"
SA9,"15,179"
